,Season Start,Team,Full Team Name,Sum of  Salary in $ 
1990Atlanta Hawks,1990,ATL,Atlanta Hawks,11761000
1990Boston Celtics,1990,BOS,Boston Celtics,11256000
1990Charlotte Hornets,1990,CHA,Charlotte Hornets,10417000
1990Chicago Bulls,1990,CHI,Chicago Bulls,10040000
1990Cleveland Caveliers,1990,CLE,Cleveland Caveliers,14403000
1990Dallas Mavericks,1990,DAL,Dallas Mavericks,11693000
1990Denver Nuggets,1990,DEN,Denver Nuggets,10335000
1990Detroit Pistons,1990,DET,Detroit Pistons,12910000
1990Golden State Warriors,1990,GSW,Golden State Warriors,11150000
1990Houston Rockets,1990,HOU,Houston Rockets,10500000
1990Indiana Pacers,1990,IND,Indiana Pacers,10981000
1990Los Angeles Clippers,1990,LAC,Los Angeles Clippers,10245000
1990Los Angeles Lakers,1990,LAL,Los Angeles Lakers,12120000
1990Miami Heat,1990,MIA,Miami Heat,8510000
1990Milwaukee Bucks,1990,MIL,Milwaukee Bucks,11595000
1990Minnesota Timberwolves,1990,MIN,Minnesota Timberwolves,7540000
1990Brooklyn Nets,1990,NJN,Brooklyn Nets,11410000
1990New York Knicks,1990,NYK,New York Knicks,13290000
1990Oklahoma City Thunder,1990,OKC,Oklahoma City Thunder,10590000
1990Orlando Magic,1990,ORL,Orlando Magic,7532000
1990Philadelphia 76ers,1990,PHI,Philadelphia 76ers,11640000
1990Phoenix Suns,1990,PHO,Phoenix Suns,11463000
1990Portland Trail Blazers,1990,POR,Portland Trail Blazers,11215000
1990Sacramento Kings,1990,SAC,Sacramento Kings,9605000
1990San Antonio Spurs,1990,SAS,San Antonio Spurs,11057000
1990Utah Jazz,1990,UTA,Utah Jazz,10695000
1990Washington Wizards,1990,WAS,Washington Wizards,9610000
1991Atlanta Hawks,1991,ATL,Atlanta Hawks,12930000
1991Boston Celtics,1991,BOS,Boston Celtics,25213000
1991Boston Celticss,1991,BOS,Boston Celticss,130000
1991Charlotte Hornets,1991,CHA,Charlotte Hornets,12625000
1991Chicago Bulls,1991,CHI,Chicago Bulls,16829000
1991Cleveland Caveliers,1991,CLE,Cleveland Caveliers,16882000
1991Dallas Mavericks,1991,DAL,Dallas Mavericks,13004000
