,,,,,,,,,year,level,sport,winner,winner_metro,runner_up,runner_up_metro,final_four3,final_four3_metro,final_four4,final_four4_metro
1947Philadelphia Warriors,1947Chicago Stags,1947New York Knicks,1947Washington Capitols,,,,,,1947,pro,NBA,Philadelphia Warriors,"Greater Philadelphia, PA",Chicago Stags,"Chicago, IL",New York Knicks,New York Metro Area,Washington Capitols,"Washington, DC Metro Area"
1948Baltimore Bullets,1948Philadelphia Warriors,1948Chicago Stags,1948St. Louis Bombers,,,,,,1948,pro,NBA,Baltimore Bullets,"Baltimore, MD",Philadelphia Warriors,"Greater Philadelphia, PA",Chicago Stags,"Chicago, IL",St. Louis Bombers,ERROR
1949Minneapolis Lakers,1949Washington Capitols,1949Rochester Royals,1949New York Knicks,,,,,,1949,pro,NBA,Minneapolis Lakers,"Twin Cities, MN",Washington Capitols,"Washington, DC Metro Area",Rochester Royals,"Rochester, NY",New York Knicks,New York Metro Area
1950Minneapolis Lakers,1950Syracuse Nationals,1950New York Knicks,1950Fort Wayne Pistons,,,,,,1950,pro,NBA,Minneapolis Lakers,"Twin Cities, MN",Syracuse Nationals,"Syracuse, NY",New York Knicks,New York Metro Area,Fort Wayne Pistons,"Fort Wayne, IN"
1951Rochester Royals,1951New York Knicks,1951Minneapolis Lakers,1951Syracuse Nationals,,,,,,1951,pro,NBA,Rochester Royals,"Rochester, NY",New York Knicks,New York Metro Area,Minneapolis Lakers,"Twin Cities, MN",Syracuse Nationals,"Syracuse, NY"
1952Minneapolis Lakers,1952New York Knicks,1952Rochester Royals,1952Syracuse Nationals,,,,,,1952,pro,NBA,Minneapolis Lakers,"Twin Cities, MN",New York Knicks,New York Metro Area,Rochester Royals,"Rochester, NY",Syracuse Nationals,"Syracuse, NY"
1953Minneapolis Lakers,1953New York Knicks,1953Fort Wayne Pistons,1953Boston Celtics,,,,,,1953,pro,NBA,Minneapolis Lakers,"Twin Cities, MN",New York Knicks,New York Metro Area,Fort Wayne Pistons,"Fort Wayne, IN",Boston Celtics,"Greater Boston, MA"
1954Minneapolis Lakers,1954Syracuse Nationals,1954Rochester Royals,1954Boston Celtics,,,,,,1954,pro,NBA,Minneapolis Lakers,"Twin Cities, MN",Syracuse Nationals,"Syracuse, NY",Rochester Royals,"Rochester, NY",Boston Celtics,"Greater Boston, MA"
1955Syracuse Nationals,1955Fort Wayne Pistons,1955Minneapolis Lakers,1955Boston Celtics,,,,,,1955,pro,NBA,Syracuse Nationals,"Syracuse, NY",Fort Wayne Pistons,"Fort Wayne, IN",Minneapolis Lakers,"Twin Cities, MN",Boston Celtics,"Greater Boston, MA"
1956Philadelphia Warriors,1956Fort Wayne Pistons,1956St. Louis Hawks,1956Syracuse Nationals,,,,,,1956,pro,NBA,Philadelphia Warriors,"Greater Philadelphia, PA",Fort Wayne Pistons,"Fort Wayne, IN",St. Louis Hawks,"St. Louis, MO",Syracuse Nationals,"Syracuse, NY"
1957Boston Celtics,1957St. Louis Hawks,1957Minneapolis Lakers,1957Syracuse Nationals,,,,,,1957,pro,NBA,Boston Celtics,"Greater Boston, MA",St. Louis Hawks,"St. Louis, MO",Minneapolis Lakers,"Twin Cities, MN",Syracuse Nationals,"Syracuse, NY"
1958St. Louis Hawks,1958Boston Celtics,1958Detroit Pistons,1958Philadelphia Warriors,,,,,,1958,pro,NBA,St. Louis Hawks,"St. Louis, MO",Boston Celtics,"Greater Boston, MA",Detroit Pistons,"Metro Detroit, MI",Philadelphia Warriors,"Greater Philadelphia, PA"
1959Boston Celtics,1959Minneapolis Lakers,1959St. Louis Hawks,1959Syracuse Nationals,,,,,,1959,pro,NBA,Boston Celtics,"Greater Boston, MA",Minneapolis Lakers,"Twin Cities, MN",St. Louis Hawks,"St. Louis, MO",Syracuse Nationals,"Syracuse, NY"
1960Boston Celtics,1960St. Louis Hawks,1960Minneapolis Lakers,1960Philadelphia Warriors,,,,,,1960,pro,NBA,Boston Celtics,"Greater Boston, MA",St. Louis Hawks,"St. Louis, MO",Minneapolis Lakers,"Twin Cities, MN",Philadelphia Warriors,"Greater Philadelphia, PA"
1961Boston Celtics,1961St. Louis Hawks,1961Los Angeles Lakers,1961Syracuse Nationals,,,,,,1961,pro,NBA,Boston Celtics,"Greater Boston, MA",St. Louis Hawks,"St. Louis, MO",Los Angeles Lakers,"Greater Los Angeles, CA",Syracuse Nationals,"Syracuse, NY"
1962Boston Celtics,1962Los Angeles Lakers,1962Detroit Pistons,1962Philadelphia 76ers,,,,,,1962,pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",Detroit Pistons,"Metro Detroit, MI",Philadelphia 76ers,"Greater Philadelphia, PA"
1963Boston Celtics,1963Los Angeles Lakers,1963St. Louis Hawks,1963Cincinnati Royals,,,,,,1963,pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",St. Louis Hawks,"St. Louis, MO",Cincinnati Royals,"Cincinnati, OH"
1964Boston Celtics,1964San Francisco Warriors,1964St. Louis Hawks,1964Cincinnati Royals,,,,,,1964,pro,NBA,Boston Celtics,"Greater Boston, MA",San Francisco Warriors,"San Francisco Bay Area, CA",St. Louis Hawks,"St. Louis, MO",Cincinnati Royals,"Cincinnati, OH"
1965Boston Celtics,1965Los Angeles Lakers,1965Baltimore Bullets,1965Philadelphia 76ers,,,,,,1965,pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",Baltimore Bullets,"Baltimore, MD",Philadelphia 76ers,"Greater Philadelphia, PA"
1966Boston Celtics,1966Los Angeles Lakers,1966St. Louis Hawks,1966Philadelphia 76ers,,,,,,1966,pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",St. Louis Hawks,"St. Louis, MO",Philadelphia 76ers,"Greater Philadelphia, PA"
1967Philadelphia 76ers,1967San Francisco Warriors,1967St. Louis Hawks,1967Boston Celtics,,,,,,1967,pro,NBA,Philadelphia 76ers,"Greater Philadelphia, PA",San Francisco Warriors,"San Francisco Bay Area, CA",St. Louis Hawks,"St. Louis, MO",Boston Celtics,"Greater Boston, MA"
1968Boston Celtics,1968Los Angeles Lakers,1968San Francisco Warriors,1968Philadelphia 76ers,,,,,,1968,pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",San Francisco Warriors,"San Francisco Bay Area, CA",Philadelphia 76ers,"Greater Philadelphia, PA"
1969Boston Celtics,1969Los Angeles Lakers,1969Atlanta Hawks,1969New York Knicks,,,,,,1969,pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",Atlanta Hawks,"Atlanta, GA",New York Knicks,New York Metro Area
1970New York Knicks,1970Los Angeles Lakers,1970Atlanta Hawks,1970Milwaukee Bucks,,,,,,1970,pro,NBA,New York Knicks,New York Metro Area,Los Angeles Lakers,"Greater Los Angeles, CA",Atlanta Hawks,"Atlanta, GA",Milwaukee Bucks,"Milwaukee, WI"
1971Milwaukee Bucks,1971Baltimore Bullets,1971Los Angeles Lakers,1971New York Knicks,,,,,,1971,pro,NBA,Milwaukee Bucks,"Milwaukee, WI",Baltimore Bullets,"Baltimore, MD",Los Angeles Lakers,"Greater Los Angeles, CA",New York Knicks,New York Metro Area
1972Los Angeles Lakers,1972New York Knicks,1972Milwaukee Bucks,1972Boston Celtics,,,,,,1972,pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",New York Knicks,New York Metro Area,Milwaukee Bucks,"Milwaukee, WI",Boston Celtics,"Greater Boston, MA"
1973New York Knicks,1973Los Angeles Lakers,1973Golden State Warriors,1973Boston Celtics,,,,,,1973,pro,NBA,New York Knicks,New York Metro Area,Los Angeles Lakers,"Greater Los Angeles, CA",Golden State Warriors,"San Francisco Bay Area, CA",Boston Celtics,"Greater Boston, MA"
